"","coords.x1","coords.x2",""
"523",389801.5,288605.5,105.610000610352
"524",389779.5,288515.5,109.069999694824
"525",389776.5,288588.5,108.319999694824
"526",389803.5,288527.5,106.410003662109
"527",389767.5,288534.5,109.059997558594
"528",389789.5,288531.5,107.650001525879
"529",389763.5,288631.5,109.019996643066
"530",389763.5,288542.5,109.309997558594
"531",389799.5,288530.5,106.720001220703
"532",389792.5,288549.5,107.199996948242
"533",389772.5,288554.5,107.879997253418
"534",389773.5,288544.5,107.349998474121
"535",389798.5,288623.5,107.779998779297
"536",389767.5,288577.5,108.290000915527
"537",389763.5,288564.5,108.550003051758
"538",389789.5,288544.5,107.5
"539",389811.5,288584.5,105.139999389648
"540",389808.5,288623.5,108.199996948242
"541",389804.5,288600.5,105.209999084473
"542",389768.5,288560.5,108.769996643066
"543",389769.5,288545.5,108.830001831055
"544",389797.5,288594.5,106.190002441406
"545",389785.5,288627.5,108.470001220703
"546",389802.5,288577.5,106.269996643066
"547",389760.5,288621.5,107.589996337891
"548",389782.5,288527.5,108.73999786377
"549",389787.5,288641.5,106.589996337891
"550",389777.5,288632.5,108.720001220703
"551",389802.5,288606.5,105.540000915527
"552",389804.5,288626.5,107.73999786377
"553",389759.5,288557.5,108.690002441406
"554",389808.5,288616.5,105.830001831055
"555",389779.5,288641.5,109.150001525879
"556",389803.5,288610.5,105.769996643066
"557",389763.5,288560.5,108.529998779297
"558",389773.5,288592.5,109.069999694824
"559",389776.5,288619.5,107.269996643066
"560",389811.5,288582.5,105.180000305176
"561",389807.5,288568.5,105.629997253418
"562",389797.5,288540.5,106.730003356934
"563",389780.5,288626.5,109.040000915527
"564",389804.5,288625.5,107.559997558594
"565",389789.5,288539.5,107.650001525879
"566",389758.5,288551.5,108.930000305176
"567",389765.5,288536.5,109.129997253418
"568",389793.5,288579.5,107.319999694824
"569",389776.5,288633.5,108.449996948242
"570",389771.5,288580.5,109.019996643066
"571",389766.5,288620.5,108.959999084473
"572",389778.5,288581.5,107.290000915527
"573",389798.5,288565.5,106.169998168945
"574",389765.5,288561.5,108.569999694824
"575",389801.5,288586.5,106.050003051758
"576",389791.5,288563.5,107.23999786377
"577",389803.5,288637.5,106.580001831055
"578",389766.5,288619.5,108.900001525879
"579",389802.5,288585.5,106.25
"580",389779.5,288626.5,108.730003356934
"581",389793.5,288522.5,107.160003662109
"582",389781.5,288516.5,108.599998474121
"583",389764.5,288600.5,107.48999786377
"584",389808.5,288625.5,108.059997558594
"585",389793.5,288535.5,107.089996337891
"586",389768.5,288636.5,107.459999084473
"587",389776.5,288555.5,107.230003356934
"588",389769.5,288572.5,108.800003051758
"589",389776.5,288592.5,107.959999084473
"590",389792.5,288572.5,106.959999084473
"591",389802.5,288588.5,106.069999694824
"592",389774.5,288591.5,109.089996337891
"593",389795.5,288547.5,107.48999786377
"594",389779.5,288583.5,107.330001831055
"595",389810.5,288597.5,104.910003662109
"596",389771.5,288622.5,108.059997558594
"597",389804.5,288576.5,105.660003662109
"598",389777.5,288627.5,108.029998779297
"599",389804.5,288559.5,105.940002441406
"600",389809.5,288559.5,105.650001525879
"601",389761.5,288537.5,109.180000305176
"602",389774.5,288586.5,108.769996643066
"603",389807.5,288609.5,105.209999084473
"604",389798.5,288581.5,106.650001525879
"605",389812.5,288584.5,105.069999694824
"606",389767.5,288600.5,107.819999694824
"607",389766.5,288554.5,108.730003356934
"608",389796.5,288532.5,106.819999694824
"609",389810.5,288621.5,107.389999389648
"610",389799.5,288620.5,108.629997253418
"611",389799.5,288539.5,106.589996337891
"612",389787.5,288523.5,107.970001220703
"613",389782.5,288632.5,109.330001831055
"614",389768.5,288562.5,108.779998779297
"615",389777.5,288528.5,108.379997253418
"616",389797.5,288579.5,106.860000610352
"617",389801.5,288587.5,105.879997253418
"618",389792.5,288570.5,106.599998474121
"619",389805.5,288575.5,105.610000610352
"620",389806.5,288539.5,106.110000610352
"621",389801.5,288570.5,105.919998168945
"622",389784.5,288518.5,108.919998168945
"623",389760.5,288607.5,107.459999084473
"624",389809.5,288565.5,105.480003356934
"625",389777.5,288515.5,108.870002746582
"626",389773.5,288574.5,108.680000305176
"627",389793.5,288567.5,106.919998168945
"628",389807.5,288580.5,105.449996948242
"629",389797.5,288626.5,106.949996948242
"630",389762.5,288587.5,107.790000915527
"631",389759.5,288539.5,109.099998474121
"632",389772.5,288596.5,109.099998474121
"633",389791.5,288567.5,106.75
"634",389808.5,288555.5,105.809997558594
"635",389768.5,288578.5,108.569999694824
"636",389763.5,288583.5,107.910003662109
"637",389777.5,288595.5,107.669998168945
"638",389773.5,288604.5,109.160003662109
"639",389780.5,288624.5,108.680000305176
"640",389808.5,288566.5,105.540000915527
"641",389774.5,288606.5,108.610000610352
"642",389794.5,288542.5,107.139999389648
"643",389784.5,288526.5,108.139999389648
"644",389788.5,288530.5,108.180000305176
"645",389800.5,288531.5,106.580001831055
"646",389775.5,288607.5,107.870002746582
"647",389795.5,288531.5,106.910003662109
"648",389781.5,288527.5,108.879997253418
"649",389773.5,288535.5,107.190002441406
"650",389766.5,288635.5,107.73999786377
"651",389783.5,288641.5,108.099998474121
"652",389809.5,288593.5,105.050003051758
"653",389767.5,288541.5,109.050003051758
"654",389770.5,288521.5,107.120002746582
